title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level,ol_summary,ol_subjects,ol_pages,gb_summary,gb_categories,gb_pages,gb_rating,enriched_summary,enriched_subjects,pages
Halt's peril,"Flanagan, John (John Anthony)",9780399252075,F Fla,FIC,Cults -- Fiction. | Insurgency -- Fiction. | Fantasy fiction | Criminals -- Fiction,"Tennyson, the false prophet of the Outsider cult, has escaped and Halt is determined to stop him before he crosses the border into Araluen, but Genovesan assassins put Will and Halt's extraordinary archery skills to the test.",Ranger's apprentice,5.8,,fiction|fantasy|Children's fiction|Fantasy fiction|Fugitives from justice|Cults|Insurgency,,,,,,"Tennyson, the false prophet of the Outsider cult, has escaped and Halt is determined to stop him before he crosses the border into Araluen, but Genovesan assassins put Will and Halt's extraordinary archery skills to the test.",Cults -- Fiction. | Insurgency -- Fiction. | Fantasy fiction | Criminals -- Fiction|fiction|fantasy|Children's fiction|Fantasy fiction|Fugitives from justice|Cults|Insurgency,
Extraordinary,"Werlin, Nancy",9780803733725,F Wer,FIC,Fairies -- Fiction. | Friendship -- Fiction. | Self-esteem -- Fiction. | Jews -- Fiction. -- United States | Secrecy -- Fiction.,"Phoebe, a member of the wealthy Rothschilds family, befriends Mallory, an awkward new girl in school, and the two become as close as sisters, but Phoebe does not know that Mallory is a faerie, sent to the human world to trap the ordinary human girl into fulfilling a promise made by her ancestor Mayer to the queen of the faeries.",,Young Adult,,"Friendship|Jews|Secrets|Best friends|Self-esteem|Fairies|Fiction|Juvenile fiction|Children's fiction|Fairies, fiction|Friendship, fiction|Self-esteem, fiction|Jews, united states, fiction",,,,,,"Phoebe, a member of the wealthy Rothschilds family, befriends Mallory, an awkward new girl in school, and the two become as close as sisters, but Phoebe does not know that Mallory is a faerie, sent to the human world to trap the ordinary human girl into fulfilling a promise made by her ancestor Mayer to the queen of the faeries.","Fairies -- Fiction. | Friendship -- Fiction. | Self-esteem -- Fiction. | Jews -- Fiction. -- United States | Secrecy -- Fiction.|Friendship|Jews|Secrets|Best friends|Self-esteem|Fairies|Fiction|Juvenile fiction|Children's fiction|Fairies, fiction|Friendship, fiction|Self-esteem, fiction|Jews, united states, fiction",
Behemoth,"Westerfeld, Scott",9781416971757,F Wes,FIC,Mythical animals -- Fiction. | Princes -- Fiction. | War stories | Genetic engineering -- Fiction. | War stories | Science fiction,"Continues the story of Austrian Prince Alek who, in an alternate 1914 Europe, eludes the Germans by traveling in the Leviathan to Constantinople, where he faces a whole new kind of genetically-engineered warships.",,Young Adult,,"nyt:series_books=2011-09-17|New York Times bestseller|War stories|Princes|Juvenile fiction|Genetic engineering|Fiction|Science fiction|Imaginary creatures|War|Mythical Animals|Reading Level-Grade 9|Reading Level-Grade 8|Reading Level-Grade 11|Reading Level-Grade 10|Reading Level-Grade 12|Children's fiction|Princes, fiction|War, fiction|Animals, mythical, fiction",485,,,,,"Continues the story of Austrian Prince Alek who, in an alternate 1914 Europe, eludes the Germans by traveling in the Leviathan to Constantinople, where he faces a whole new kind of genetically-engineered warships.","Mythical animals -- Fiction. | Princes -- Fiction. | War stories | Genetic engineering -- Fiction. | War stories | Science fiction|nyt:series_books=2011-09-17|New York Times bestseller|War stories|Princes|Juvenile fiction|Genetic engineering|Fiction|Science fiction|Imaginary creatures|War|Mythical Animals|Reading Level-Grade 9|Reading Level-Grade 8|Reading Level-Grade 11|Reading Level-Grade 10|Reading Level-Grade 12|Children's fiction|Princes, fiction|War, fiction|Animals, mythical, fiction",485
Turtle in paradise,"Holm, Jennifer L.",9780375836886,F Hol,FIC,"Cousins -- Fiction. | Family life -- Fiction. -- Florida | Adventure fiction | Great Depression, 1929-1939 -- Fiction.","In 1935, when her mother gets a job housekeeping for a woman who does not like children, eleven-year-old Turtle is sent to stay with relatives she has never met in far away Key West, Florida.",,4.1,,Depressions|Adventure and adventurers|Cousins|History|Family life|Fiction|Juvenile fiction|Historical fiction|Families|nyt:chapter-books=2011-02-06|New York Times bestseller,191,,,,,"In 1935, when her mother gets a job housekeeping for a woman who does not like children, eleven-year-old Turtle is sent to stay with relatives she has never met in far away Key West, Florida.","Cousins -- Fiction. | Family life -- Fiction. -- Florida | Adventure fiction | Great Depression, 1929-1939 -- Fiction.|Depressions|Adventure and adventurers|Cousins|History|Family life|Fiction|Juvenile fiction|Historical fiction|Families|nyt:chapter-books=2011-02-06|New York Times bestseller",191
The Danger Box,"Balliett, Blue 1955-",9780439852098,F Bal,FIC,Diaries -- Fiction. | Antiques -- Fiction. | Physically handicapped -- Fiction. | Grandparents -- Fiction | Family life -- Fiction. -- Michigan,"In small-town Michigan, twelve-year-old Zoomy and his new friend Lorrol investigate the journal found inside a mysterious box and find family secrets and a more valuable treasure, while a dangerous stranger watches and waits.",,4.2,,"People with visual disabilities|Families|Diaries|Grandparents|Juvenile fiction|Family life|Antiques|Fiction|Children's fiction|Adventure and adventurers, fiction|Mystery and detective stories",,,,,,"In small-town Michigan, twelve-year-old Zoomy and his new friend Lorrol investigate the journal found inside a mysterious box and find family secrets and a more valuable treasure, while a dangerous stranger watches and waits.","Diaries -- Fiction. | Antiques -- Fiction. | Physically handicapped -- Fiction. | Grandparents -- Fiction | Family life -- Fiction. -- Michigan|People with visual disabilities|Families|Diaries|Grandparents|Juvenile fiction|Family life|Antiques|Fiction|Children's fiction|Adventure and adventurers, fiction|Mystery and detective stories",
Diary of a wimpy kid the ugly truth,"Kinney, Jeff",9780810984912,F,FIC,Developmental psychology -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | Diaries -- Fiction. | Humorous fiction,"While trying to find a new best friend after feuding with Rowley, middle-school slacker Greg Heffley is warned by older family members that adolescence is a time to act more responsibly and to think seriously about his future.",Diary of a wimpy kid,5.6,,"nyt:series_books=2009-01-10|New York Times bestseller|Maturation (Psychology)|Humorous stories|Families|Diaries|Juvenile fiction|Family life|Fiction|Friendship|Children's fiction|Family life, fiction|Diaries, fiction|Friendship, fiction|Bullying|Child and youth fiction|Cartoons and comics|Humorous fiction|Comics & Graphic Novels|Accelerated Reader",230,,,,,"While trying to find a new best friend after feuding with Rowley, middle-school slacker Greg Heffley is warned by older family members that adolescence is a time to act more responsibly and to think seriously about his future.","Developmental psychology -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | Diaries -- Fiction. | Humorous fiction|nyt:series_books=2009-01-10|New York Times bestseller|Maturation (Psychology)|Humorous stories|Families|Diaries|Juvenile fiction|Family life|Fiction|Friendship|Children's fiction|Family life, fiction|Diaries, fiction|Friendship, fiction|Bullying|Child and youth fiction|Cartoons and comics|Humorous fiction|Comics & Graphic Novels|Accelerated Reader",230
Keeper,"Appelt, Kathi 1954-",1416950605,F App,FIC,Sailing -- Fiction. | Sea stories | Mermaids and mermen -- Fiction. | Mother-daughter relationship -- Fiction.,"Ten-year-old Keeper heads to a sandbar in a small boat along with her dog BD and a seagull named Captain in order to find her mother, a mermaid who left her when Keeper was only three.",,770,,"Mermaids|Mothers and daughters|Fiction|Sailing|Ocean|Sea stories|Juvenile fiction|Children's fiction|Sailing, fiction|Ocean, fiction|Mermaids, fiction|Mothers and daughters, fiction|Middle east, fiction",399,,,,,"Ten-year-old Keeper heads to a sandbar in a small boat along with her dog BD and a seagull named Captain in order to find her mother, a mermaid who left her when Keeper was only three.","Sailing -- Fiction. | Sea stories | Mermaids and mermen -- Fiction. | Mother-daughter relationship -- Fiction.|Mermaids|Mothers and daughters|Fiction|Sailing|Ocean|Sea stories|Juvenile fiction|Children's fiction|Sailing, fiction|Ocean, fiction|Mermaids, fiction|Mothers and daughters, fiction|Middle east, fiction",399
Sammy Keyes and the wedding crasher,"Van Draanen, Wendelin",0375861076,F Van,FIC,"Keyes, Sammy (Fictitious character) -- Fiction | Teachers -- Fiction. | Weddings -- Fiction. | School stories | Mystery fiction","When her history teacher begins receiving death threats and her own name is near the top of the suspect list, eighth-grader Sammy is determined to find the real perpetrator, but she is distracted by her mother's relationship problems, her almost-boyfriend inexplicably avoiding her, and her duties as a reluctant bridesmaid.",,5.0,,Schools|Weddings|Teachers|Fiction|Mystery and detective stories|Sammy Keyes (Fictitious character)|Juvenile fiction,,,,,,"When her history teacher begins receiving death threats and her own name is near the top of the suspect list, eighth-grader Sammy is determined to find the real perpetrator, but she is distracted by her mother's relationship problems, her almost-boyfriend inexplicably avoiding her, and her duties as a reluctant bridesmaid.","Keyes, Sammy (Fictitious character) -- Fiction | Teachers -- Fiction. | Weddings -- Fiction. | School stories | Mystery fiction|Schools|Weddings|Teachers|Fiction|Mystery and detective stories|Sammy Keyes (Fictitious character)|Juvenile fiction",
The Scorch trials,"Dashner, James 1972-",9780385738767 (pbk),F Das,FIC,Science fiction | Science -- Fiction. -- Experiments | Survival skills -- Fiction.,"After surviving horrific conditions in the Maze, Thomas is entrapped, along with nineteen other boys, in a scientific experiment designed to observe their responses and gather data believed to be essential for the survival of the human race.",,HL 720,,Science fiction|Survival|Fiction|Solar flares|Mutation (Biology)|Science|Experiments|Telepathy|Leadership in adolescents|Survival skills|Juvenile fiction|Young adult fiction|Juvenile works|Young adult works|Reading Level-Grade 7|Reading Level-Grade 9|Reading Level-Grade 8|Reading Level-Grade 11|Reading Level-Grade 10|Reading Level-Grade 12,384,,,,,"After surviving horrific conditions in the Maze, Thomas is entrapped, along with nineteen other boys, in a scientific experiment designed to observe their responses and gather data believed to be essential for the survival of the human race.",Science fiction | Science -- Fiction. -- Experiments | Survival skills -- Fiction.|Science fiction|Survival|Fiction|Solar flares|Mutation (Biology)|Science|Experiments|Telepathy|Leadership in adolescents|Survival skills|Juvenile fiction|Young adult fiction|Juvenile works|Young adult works|Reading Level-Grade 7|Reading Level-Grade 9|Reading Level-Grade 8|Reading Level-Grade 11|Reading Level-Grade 10|Reading Level-Grade 12,384
Milo  sticky notes and brain freeze,"Silberberg, Alan",9781416994305,F Sil,FIC,Grief -- Fiction. | Death -- Fiction. | Mothers -- Fiction. | Friendship -- Fiction.,"In love with the girl he sneezed on the first day of school and best pals with Marshall, the ""One Eyed Jack"" of friends, seventh-grader Milo Cruikshank misses his mother whose death has changed everything at home.",,3-6,,"Grief|Death|Friendship|Fiction|Mothers|Juvenile fiction|Grief in adolescence|Parents|Friendship in adolescence|Chagrin chez l'adolescent|Romans, nouvelles, etc. pour la jeunesse|Mort|Mères|Amitié chez l'adolescent|Children's fiction|Death, fiction|Grief, fiction|Friendship, fiction|Mothers, fiction",,,,,,"In love with the girl he sneezed on the first day of school and best pals with Marshall, the ""One Eyed Jack"" of friends, seventh-grader Milo Cruikshank misses his mother whose death has changed everything at home.","Grief -- Fiction. | Death -- Fiction. | Mothers -- Fiction. | Friendship -- Fiction.|Grief|Death|Friendship|Fiction|Mothers|Juvenile fiction|Grief in adolescence|Parents|Friendship in adolescence|Chagrin chez l'adolescent|Romans, nouvelles, etc. pour la jeunesse|Mort|Mères|Amitié chez l'adolescent|Children's fiction|Death, fiction|Grief, fiction|Friendship, fiction|Mothers, fiction",
