title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level,ol_summary,ol_subjects,ol_pages,gb_summary,gb_categories,gb_pages,gb_rating,enriched_summary,enriched_subjects,pages
Alice through the looking-glass,"Carroll, Lewis 1832-1898",0763628921,F Car,FIC,Alice (Fictitious character : Carroll) -- Fiction,"In this sequel to ""Alice in Wonderland"" Alice goes through the mirror to find a strange world where curious adventures await her.",,4.4,,"Fantasy|Fiction|English Nonsense verses|Children's poetry, English|Nonsense verses|English poetry|Alice (Fictitious character : Carroll)|Toy and movable books|English Fantasy poetry|Children's stories|Juvenile literature|Specimens|Juvenile fiction|Translations into Italian|Artists' books|Shaw alphabet|Children's stories, English|Children's fiction|Fantasy fiction|Alice (fictitious character : carroll), fiction",224,,,,,"In this sequel to ""Alice in Wonderland"" Alice goes through the mirror to find a strange world where curious adventures await her.","Alice (Fictitious character : Carroll) -- Fiction|Fantasy|Fiction|English Nonsense verses|Children's poetry, English|Nonsense verses|English poetry|Alice (Fictitious character : Carroll)|Toy and movable books|English Fantasy poetry|Children's stories|Juvenile literature|Specimens|Juvenile fiction|Translations into Italian|Artists' books|Shaw alphabet|Children's stories, English|Children's fiction|Fantasy fiction|Alice (fictitious character : carroll), fiction",224.0
Bloodline,"Cary, Kate",1595140123,F Car,FIC,"Vampires -- Fiction. | World War, 1914-1918 -- Fiction. | War stories | Diaries -- Fiction. | Horror fiction",Nineteen-year-old John Shaw returns from World War One and is haunted by nightmares of not only the battles but the horrifying discovery that his regimental commander is descended from Count Dracula.,,Young Adult,,"World War, 1914-1918|Vampires|Diaries|Fiction|Horror stories|Children's fiction|Vampires, fiction|World war, 1914-1918, fiction|Diaries, fiction|Ghosts, fiction|Horror tales",324,,,,,Nineteen-year-old John Shaw returns from World War One and is haunted by nightmares of not only the battles but the horrifying discovery that his regimental commander is descended from Count Dracula.,"Vampires -- Fiction. | World War, 1914-1918 -- Fiction. | War stories | Diaries -- Fiction. | Horror fiction|World War, 1914-1918|Vampires|Diaries|Fiction|Horror stories|Children's fiction|Vampires, fiction|World war, 1914-1918, fiction|Diaries, fiction|Ghosts, fiction|Horror tales",324.0
Boy girl boy,"Koertge, Ronald",0152053255,F,FIC,Friendship -- Fiction. | Self-perception -- Fiction. | Homosexuality -- Fiction.,"Three troubled high school seniors, who plan to run away together from Illinois to California after graduation, try to figure out who they are and who they want to be.",,680,,"Fiction|Self-perception|Homosexuality|Friendship|Juvenile fiction|Children's fiction|Friendship, fiction|Self-perception, fiction|Homosexuality, fiction",164,,,,,"Three troubled high school seniors, who plan to run away together from Illinois to California after graduation, try to figure out who they are and who they want to be.","Friendship -- Fiction. | Self-perception -- Fiction. | Homosexuality -- Fiction.|Fiction|Self-perception|Homosexuality|Friendship|Juvenile fiction|Children's fiction|Friendship, fiction|Self-perception, fiction|Homosexuality, fiction",164.0
Dragonsblood,"McCaffrey, Todd 1956-",0345441249,F McC,FIC,Pern (Imaginary place) -- Fiction | Life on other planets -- Fiction. | Dragons -- Fiction.,"Lorana, a young dragonrider with a gift for healing and telepathy, rushes to find a cure when a mysterious fatal illness infects the dragons just when a deadly cycle of Threadfall is due, and realizes the answer lies with Wind Blossom, a geneticist whose mother created the dragons hundreds of years earlier.",,Young Adult,,"Fiction|Pern (Imaginary place)|Dragons|Life on other planets|Science Fiction|Fantasy fiction|Pern (imaginary place), fiction|Fiction, science fiction, general",438,,,,,"Lorana, a young dragonrider with a gift for healing and telepathy, rushes to find a cure when a mysterious fatal illness infects the dragons just when a deadly cycle of Threadfall is due, and realizes the answer lies with Wind Blossom, a geneticist whose mother created the dragons hundreds of years earlier.","Pern (Imaginary place) -- Fiction | Life on other planets -- Fiction. | Dragons -- Fiction.|Fiction|Pern (Imaginary place)|Dragons|Life on other planets|Science Fiction|Fantasy fiction|Pern (imaginary place), fiction|Fiction, science fiction, general",438.0
Elsewhere,"Zevin, Gabrielle",0374320918,F Zev,FIC,Future life -- Fiction. | Death -- Fiction.,"After fifteen-year-old Liz Hall is hit by a taxi and killed, she finds herself in a place that is both like and unlike Earth, where she must adjust to her new status and figure out how to ""live.""",,720,,"Death|Juvenile fiction|Fiction|Young adult fiction|Future life|Psychological fiction|Death, fiction|Children's fiction|Future life, fiction|Large type books|Fantasy fiction",275,,,,,"After fifteen-year-old Liz Hall is hit by a taxi and killed, she finds herself in a place that is both like and unlike Earth, where she must adjust to her new status and figure out how to ""live.""","Future life -- Fiction. | Death -- Fiction.|Death|Juvenile fiction|Fiction|Young adult fiction|Future life|Psychological fiction|Death, fiction|Children's fiction|Future life, fiction|Large type books|Fantasy fiction",275.0
The fashion disaster that changed my life,"Myracle, Lauren 1969-",0525472223,F Myr,FIC,School attendance -- Fiction. | School stories | Friendship -- Fiction. | Family life -- Fiction.,"Seventh-grader Alli describes in her journal the ups and downs of being in junior high, where she fits in, and what it means to be a real friend.",,5.2,,"Fiction|Friendship in fiction|First day of school in fiction|Family life|Schools in fiction|Family life in fiction|First day of school|Schools|Friendship|Families|Juvenile fiction|Children's fiction|First day of school, fiction|Schools, fiction|Friendship, fiction|Family life, fiction",135,,,,,"Seventh-grader Alli describes in her journal the ups and downs of being in junior high, where she fits in, and what it means to be a real friend.","School attendance -- Fiction. | School stories | Friendship -- Fiction. | Family life -- Fiction.|Fiction|Friendship in fiction|First day of school in fiction|Family life|Schools in fiction|Family life in fiction|First day of school|Schools|Friendship|Families|Juvenile fiction|Children's fiction|First day of school, fiction|Schools, fiction|Friendship, fiction|Family life, fiction",135.0
In the paint,"Rud, Jeff 1960-",1551433370,F Rud,FIC,Basketball -- Fiction | School sports -- Fiction.,Twelve-year-old Matt Hill struggles to make the basketball team in his new school while keeping out of trouble.,South side sports,940,,"Basketball stories|Honesty|Juvenile fiction|Maturation (Psychology)|Bullying|Basket-ball|Récits|Honnêteté|Romans, nouvelles, etc. pour la jeunesse|Maturation (Psychologie)|Intimidation|Fiction|Basketball, fiction|Children's fiction",163,,,,,Twelve-year-old Matt Hill struggles to make the basketball team in his new school while keeping out of trouble.,"Basketball -- Fiction | School sports -- Fiction.|Basketball stories|Honesty|Juvenile fiction|Maturation (Psychology)|Bullying|Basket-ball|Récits|Honnêteté|Romans, nouvelles, etc. pour la jeunesse|Maturation (Psychologie)|Intimidation|Fiction|Basketball, fiction|Children's fiction",163.0
Something girl,"Goobie, Beth 1959-",1551433478,F Goo,FIC,Fear -- Fiction. | Child abuse -- Fiction. | Father-child relationship -- Fiction.,"Sophie lives in constant fear of her father, who beats her on a regular basis, until the day the beating is so severe it sends her to the hospital.",Orca soundings,3.3,,"Abused teenagers|Juvenile fiction|Self-esteem|Abusive parents|Children's fiction|Girls, fiction|Self-esteem, fiction",105,,,,,"Sophie lives in constant fear of her father, who beats her on a regular basis, until the day the beating is so severe it sends her to the hospital.","Fear -- Fiction. | Child abuse -- Fiction. | Father-child relationship -- Fiction.|Abused teenagers|Juvenile fiction|Self-esteem|Abusive parents|Children's fiction|Girls, fiction|Self-esteem, fiction",105.0
Undine,"Russon, Penni",0060793902,F Rus,FIC,Magic -- Fiction. | Father-daughter relationship -- Fiction. | Sea stories | Conduct of life -- Fiction | Interpersonal relations -- Fiction.,"Sixteen-year-old Undine, hearing her presumably deceased father calling to her and feeling a strange force growing inside her, travels to the sea to discover the depths of her magical powers.",,Young Adult,,"Magic|Juvenile Fiction|Fiction|Fathers and daughters|Interpersonal relations|Sea stories|Conduct of life|Ocean|Australia, fiction|Interpersonal relations, fiction|Magic, fiction|Ocean, fiction|Children's fiction|Conduct of life, fiction|Fathers and daughters, fiction",,,,,,"Sixteen-year-old Undine, hearing her presumably deceased father calling to her and feeling a strange force growing inside her, travels to the sea to discover the depths of her magical powers.","Magic -- Fiction. | Father-daughter relationship -- Fiction. | Sea stories | Conduct of life -- Fiction | Interpersonal relations -- Fiction.|Magic|Juvenile Fiction|Fiction|Fathers and daughters|Interpersonal relations|Sea stories|Conduct of life|Ocean|Australia, fiction|Interpersonal relations, fiction|Magic, fiction|Ocean, fiction|Children's fiction|Conduct of life, fiction|Fathers and daughters, fiction",
Heat,"Lupica, Mike",0399243011,F Lup,FIC,Brothers -- Fiction. | Orphans -- Fiction. | Illegal aliens -- Fiction. | Latin Americans -- Fiction | Little League baseball -- Fiction. | Baseball -- Fiction | Social work -- Fiction.,Pitching prodigy Michael Arroyo is on the run from social services after being banned from playing Little League baseball because rival coaches doubt he is only twelve years old and he has no parents to offer them proof.,,6.9,,"Cubans|Brothers|Fiction|Illegal aliens|Juvenile fiction|Little League baseball|Baseball|Social service|Orphans|Baseball stories|Reading Level-Grade 11|Reading Level-Grade 12|Brothers and sisters, fiction|Orphans, fiction|Illegal aliens, fiction|Little league baseball, fiction|Social service, fiction|Children's fiction|Baseball, fiction|Siblings, fiction",220,,,,,Pitching prodigy Michael Arroyo is on the run from social services after being banned from playing Little League baseball because rival coaches doubt he is only twelve years old and he has no parents to offer them proof.,"Brothers -- Fiction. | Orphans -- Fiction. | Illegal aliens -- Fiction. | Latin Americans -- Fiction | Little League baseball -- Fiction. | Baseball -- Fiction | Social work -- Fiction.|Cubans|Brothers|Fiction|Illegal aliens|Juvenile fiction|Little League baseball|Baseball|Social service|Orphans|Baseball stories|Reading Level-Grade 11|Reading Level-Grade 12|Brothers and sisters, fiction|Orphans, fiction|Illegal aliens, fiction|Little league baseball, fiction|Social service, fiction|Children's fiction|Baseball, fiction|Siblings, fiction",220
Pride and prejudice,"Austen, Jane 1775-1817",0553210181,F Aus,FIC,Family -- Fiction -- England | Family -- Fiction. | Courtship -- Fiction. -- England | Young women -- Fiction. -- England,"In early nineteenth-century England, a spirited young woman copes with the courtship of a snobbish gentleman as well as the romantic entanglements of her four sisters.",Everyman's library,Young Adult,,"Fiction, Romance, Historical, Regency|British and Irish fiction (fictional works by one author)|Brothers and sisters|Courtship|Drama|English fiction|English literature|Families|Family|Family life|Family relations|Fiction Classics|History|Interpersonal relations|Literary Fiction|Love stories|manners|Manners and customs|marriage|Sisters",292,,,,,"In early nineteenth-century England, a spirited young woman copes with the courtship of a snobbish gentleman as well as the romantic entanglements of her four sisters.","Family -- Fiction -- England | Family -- Fiction. | Courtship -- Fiction. -- England | Young women -- Fiction. -- England|Fiction, Romance, Historical, Regency|British and Irish fiction (fictional works by one author)|Brothers and sisters|Courtship|Drama|English fiction|English literature|Families|Family|Family life|Family relations|Fiction Classics|History|Interpersonal relations|Literary Fiction|Love stories|manners|Manners and customs|marriage|Sisters",292
In the hand of the goddess,"Pierce, Tamora",0689878567,F Pie,FIC,Alanna (Fictional character : Pierce) -- Fiction. | Knights and knighthood -- Fiction. | Gender role -- Fiction. | Fantasy fiction,"Pursuing her desire to be a knight, Alanna learns many things in her role as squire to Prince Jonathan, but fears Duke Roger, an ambitious sorcerer with whom she knows she will one day have to deal.",Song of the lioness,750,,"Alanna (Fictitious character : Pierce)|Song of the Lioness|Tortall|Knights and knighthood|Fiction|Women heroes|Juvenile fiction|Sex role|Fantasy|Children's fiction|Fantasy fiction|Wizards|Princes|Knights and knighthood, fiction|Princes, fiction|Wizards, fiction|Gods, fiction",264,,,,,"Pursuing her desire to be a knight, Alanna learns many things in her role as squire to Prince Jonathan, but fears Duke Roger, an ambitious sorcerer with whom she knows she will one day have to deal.","Alanna (Fictional character : Pierce) -- Fiction. | Knights and knighthood -- Fiction. | Gender role -- Fiction. | Fantasy fiction|Alanna (Fictitious character : Pierce)|Song of the Lioness|Tortall|Knights and knighthood|Fiction|Women heroes|Juvenile fiction|Sex role|Fantasy|Children's fiction|Fantasy fiction|Wizards|Princes|Knights and knighthood, fiction|Princes, fiction|Wizards, fiction|Gods, fiction",264
The woman who rides like a man,"Pierce, Tamora",0689878583 (Pulse),F Pie,FIC,Knights and knighthood -- Fiction. | Gender role -- Fiction. | Fantasy fiction | Middle Ages -- Fiction. | Alanna (Fictional character : Pierce) -- Fiction.,"On her first tour as a knight errant, Alanna assumes a position of influence with a fierce desert tribe, makes some changes in the role of women in the society, and continues her own emotional development.",Song of the lioness series,790,,"Fiction|Song of the Lioness|Tortall|Alanna (Fictitious character : Pierce)|Knights and knighthood|Sex role|Juvenile fiction|Fantasy|Alanna (Fictitious character)|Children's fiction|Knights and knighthood, fiction|Sex role, fiction|Fantasy fiction|Young adult fiction, fantasy, general|Young adult fiction, girls & women|Young adult fiction, action & adventure, general",284,,,,,"On her first tour as a knight errant, Alanna assumes a position of influence with a fierce desert tribe, makes some changes in the role of women in the society, and continues her own emotional development.","Knights and knighthood -- Fiction. | Gender role -- Fiction. | Fantasy fiction | Middle Ages -- Fiction. | Alanna (Fictional character : Pierce) -- Fiction.|Fiction|Song of the Lioness|Tortall|Alanna (Fictitious character : Pierce)|Knights and knighthood|Sex role|Juvenile fiction|Fantasy|Alanna (Fictitious character)|Children's fiction|Knights and knighthood, fiction|Sex role, fiction|Fantasy fiction|Young adult fiction, fantasy, general|Young adult fiction, girls & women|Young adult fiction, action & adventure, general",284
The homework machine,"Gutman, Dan",0689876785,F Gut,FIC,Homework -- Fiction. | Cheating (Education) -- Fiction. | School stories | Interpersonal relations -- Fiction.,"Four fifth-grade students -- a geek, a class clown, a teacher's pet, and a slacker -- as well as their teacher and mothers, each relate events surrounding a computer programmed to complete homework assignments.",,4.8,,"Cheating|Cheating (Education)|Juvenile fiction|Fiction|Interpersonal relations|Schools|Homework|Large type books|Devoirs à la maison|Romans, nouvelles, etc. pour la jeunesse|Copiage|Écoles|Relations humaines|Littérature de jeunesse anglaise|JUVENILE FICTION|Humorous Stories|School & Education|Social Themes|Adolescence & Coming of Age|School stories",,,,,,"Four fifth-grade students -- a geek, a class clown, a teacher's pet, and a slacker -- as well as their teacher and mothers, each relate events surrounding a computer programmed to complete homework assignments.","Homework -- Fiction. | Cheating (Education) -- Fiction. | School stories | Interpersonal relations -- Fiction.|Cheating|Cheating (Education)|Juvenile fiction|Fiction|Interpersonal relations|Schools|Homework|Large type books|Devoirs à la maison|Romans, nouvelles, etc. pour la jeunesse|Copiage|Écoles|Relations humaines|Littérature de jeunesse anglaise|JUVENILE FICTION|Humorous Stories|School & Education|Social Themes|Adolescence & Coming of Age|School stories",
Estrella's quinceañera,"Alegría, Malín",0689878095,F Ale,FIC,Manners and customs -- Fiction. | Mexican Americans -- Fiction. | Mexican Americans -- Fiction. -- Social life and customs | Parties -- Fiction. | Mother-daughter relationship -- Fiction. | Friendship -- Fiction.,"Estrella's mother and aunt are planning a gaudy, traditional quinceañera for her, even though it is the last thing she wants.",,690,,"Fiction|Friendship|Juvenile fiction|Mexican Americans|Mothers and daughters|Quinceañera (Social custom)|Children's fiction|Mexican americans, fiction|Manners and customs, fiction|Mothers and daughters, fiction|Friendship, fiction",,,,,,"Estrella's mother and aunt are planning a gaudy, traditional quinceañera for her, even though it is the last thing she wants.","Manners and customs -- Fiction. | Mexican Americans -- Fiction. | Mexican Americans -- Fiction. -- Social life and customs | Parties -- Fiction. | Mother-daughter relationship -- Fiction. | Friendship -- Fiction.|Fiction|Friendship|Juvenile fiction|Mexican Americans|Mothers and daughters|Quinceañera (Social custom)|Children's fiction|Mexican americans, fiction|Manners and customs, fiction|Mothers and daughters, fiction|Friendship, fiction",
"Regarding the sink  where, oh where, did Waters go?","Klise, Kate",0152055444,F Kli,FIC,Missing children -- Fiction. | School stories | Letters -- Fiction.,"A series of letters reveals the selection of the famous fountain designer, Florence Waters, to design a new sink for the Geyser Creek Middle School cafeteria, her subsequent disappearance, and the efforts of a class of sixth-graders to find her.",Regarding the--,950,,"Fiction|Schools|Missing persons|Letters|Juvenile fiction|School stories|Missing persons, fiction|Schools, fiction|Letters, fiction|Children's fiction|Plumbing, fiction",144,,,,,"A series of letters reveals the selection of the famous fountain designer, Florence Waters, to design a new sink for the Geyser Creek Middle School cafeteria, her subsequent disappearance, and the efforts of a class of sixth-graders to find her.","Missing children -- Fiction. | School stories | Letters -- Fiction.|Fiction|Schools|Missing persons|Letters|Juvenile fiction|School stories|Missing persons, fiction|Schools, fiction|Letters, fiction|Children's fiction|Plumbing, fiction",144
Blue noon,"Westerfeld, Scott",0060519584 (lib. bdg.),F Wes,FIC,Space and time -- Fiction. | Science fiction | Horror fiction,"The five Midnighters from Bixby discover that the secret hour is starting to invade the daylight world, and if they cannot stop it, the darklings will soon be free to hunt again.",Midnighters,Young Adult,,"Science fiction|Reading Level-Grade 9|Reading Level-Grade 8|Reading Level-Grade 11|Reading Level-Grade 10|Reading Level-Grade 12|Time|Children's fiction|Adventure and adventurers, fiction|Juvenile Fiction|Science Fiction & Fantasy|Fiction|Monsters|Jeugdboeken ; verhalen",378,,,,,"The five Midnighters from Bixby discover that the secret hour is starting to invade the daylight world, and if they cannot stop it, the darklings will soon be free to hunt again.","Space and time -- Fiction. | Science fiction | Horror fiction|Science fiction|Reading Level-Grade 9|Reading Level-Grade 8|Reading Level-Grade 11|Reading Level-Grade 10|Reading Level-Grade 12|Time|Children's fiction|Adventure and adventurers, fiction|Juvenile Fiction|Science Fiction & Fantasy|Fiction|Monsters|Jeugdboeken ; verhalen",378
The book thief,"Zusak, Markus",0375931007,F Zus,FIC,"Books and reading -- Fiction. | Storytelling -- Fiction. | Death -- Fiction. | Jews -- Fiction. -- History -- Germany | World War, 1939-1945 -- Fiction. -- Jews -- Rescue | Historical fiction","Trying to make sense of the horrors of World War II, Death relates the story of Liesel -- a young German girl whose book-stealing and story-telling talents help sustain her family and the Jewish man they are hiding, as well as their neighbors.",,Young Adult,,"nyt:young-adult-paperback-monthly=2022-09-04|New York Times bestseller|New York Times reviewed|Books and reading|Fiction|Jews|History|World War, 1939-1945|Rescue|Storytelling|Death|Novela australiana|Livres et lecture|Romans, nouvelles|Juifs|Histoire|Guerre mondiale, 1939-1945|Sauvetage|Libros y lectura|Novela",551,,,,,"Trying to make sense of the horrors of World War II, Death relates the story of Liesel -- a young German girl whose book-stealing and story-telling talents help sustain her family and the Jewish man they are hiding, as well as their neighbors.","Books and reading -- Fiction. | Storytelling -- Fiction. | Death -- Fiction. | Jews -- Fiction. -- History -- Germany | World War, 1939-1945 -- Fiction. -- Jews -- Rescue | Historical fiction|nyt:young-adult-paperback-monthly=2022-09-04|New York Times bestseller|New York Times reviewed|Books and reading|Fiction|Jews|History|World War, 1939-1945|Rescue|Storytelling|Death|Novela australiana|Livres et lecture|Romans, nouvelles|Juifs|Histoire|Guerre mondiale, 1939-1945|Sauvetage|Libros y lectura|Novela",551
La línea,"Jaramillo, Ann",1596431547,F Jar,FIC,"Siblings -- Fiction. | Immigration and emigration -- Fiction. | Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Mexicans -- Fiction.","When fifteen-year-old Miguel's time finally comes to leave his poor Mexican village, cross the border illegally, and join his parents in California, his younger sister's determination to join him soon imperils them both.",,Young Adult,,"Brothers and sisters|Survival|Fiction|Mexicans|Emigration and immigration|Reading Level-Grade 5|Reading Level-Grade 4|Reading Level-Grade 7|Reading Level-Grade 6|Reading Level-Grade 9|Reading Level-Grade 8|Reading Level-Grade 10|Children's fiction|Brothers and sisters, fiction|Emigration and immigration, fiction|Mexico, fiction",,,,,,"When fifteen-year-old Miguel's time finally comes to leave his poor Mexican village, cross the border illegally, and join his parents in California, his younger sister's determination to join him soon imperils them both.","Siblings -- Fiction. | Immigration and emigration -- Fiction. | Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Mexicans -- Fiction.|Brothers and sisters|Survival|Fiction|Mexicans|Emigration and immigration|Reading Level-Grade 5|Reading Level-Grade 4|Reading Level-Grade 7|Reading Level-Grade 6|Reading Level-Grade 9|Reading Level-Grade 8|Reading Level-Grade 10|Children's fiction|Brothers and sisters, fiction|Emigration and immigration, fiction|Mexico, fiction",
Touching darkness,"Westerfeld, Scott",0060519568,F Wes,FIC,Horror fiction,"Jessica Day, and her four friends, the ""midnighters"", are the only ones in Bixby, Oklahoma that know the world freezes at midnight, and as they battle evil creatures living in the hour hidden they learn about Bixby's shadowy past and uncover a deadly conspiracy that reaches beyond the secret hour.",Midnighters,800,,"Science fiction|Horror stories|Juvenile fiction|Fiction|Horror fiction|Children's fiction|Juvenile Fiction|Science Fiction & Fantasy|Good and evil - Fiction|Fiction, science fiction, general",439,,,,,"Jessica Day, and her four friends, the ""midnighters"", are the only ones in Bixby, Oklahoma that know the world freezes at midnight, and as they battle evil creatures living in the hour hidden they learn about Bixby's shadowy past and uncover a deadly conspiracy that reaches beyond the secret hour.","Horror fiction|Science fiction|Horror stories|Juvenile fiction|Fiction|Horror fiction|Children's fiction|Juvenile Fiction|Science Fiction & Fantasy|Good and evil - Fiction|Fiction, science fiction, general",439
The case of the missing marquess  an Enola Holmes mystery,"Springer, Nancy",0399243046,F Spr,FIC,Mothers -- Fiction. | Missing children -- Fiction. | Mystery fiction | Historical fiction,"Enola Holmes, much younger sister of detective Sherlock Holmes, must travel to London in disguise to unravel the disappearance of her missing mother.",,6.6,,"Mystery|Characters in literature|Detective and mystery stories|London (England)|Mothers|Juvenile fiction|Missing persons in fiction|Fiction|Mystery and detective stories|Missing persons|Mothers in fiction|History|Children's fiction|Missing persons, fiction|London (england), history, fiction|Sherlock Holmes|Mystery fiction|Characters and characteristics in literature|Historical fiction|Mothers, fiction",216,,,,,"Enola Holmes, much younger sister of detective Sherlock Holmes, must travel to London in disguise to unravel the disappearance of her missing mother.","Mothers -- Fiction. | Missing children -- Fiction. | Mystery fiction | Historical fiction|Mystery|Characters in literature|Detective and mystery stories|London (England)|Mothers|Juvenile fiction|Missing persons in fiction|Fiction|Mystery and detective stories|Missing persons|Mothers in fiction|History|Children's fiction|Missing persons, fiction|London (england), history, fiction|Sherlock Holmes|Mystery fiction|Characters and characteristics in literature|Historical fiction|Mothers, fiction",216
"My last skirt  the story of Jennie Hodgers, Union soldier","Durrant, Lynda 1956-",0618574905,F Dur,FIC,Gender role -- Fiction. | Soldiers -- Fiction. | Irish Americans -- Fiction | Historical fiction,"Enjoying the freedom afforded her while dressing as a boy in order to earn higher pay after emigrating from Ireland, Jennie Hodgers serves in the 95th Illinois Infantry as Private Albert Cashier, a Union soldier in the American Civil War.",,5.3,,"Irish Americans|United States. Army. Illinois Infantry Regiment, 95th (1862-1865)|Juvenile fiction|Fiction|United States|Sex role|United States Civil War, 1861-1865|Soldiers|History|Children's fiction|United states, history, 19th century, fiction|Sex role, fiction|Irish americans, fiction|United states, history, civil war, 1861-1865, fiction",,,,,,"Enjoying the freedom afforded her while dressing as a boy in order to earn higher pay after emigrating from Ireland, Jennie Hodgers serves in the 95th Illinois Infantry as Private Albert Cashier, a Union soldier in the American Civil War.","Gender role -- Fiction. | Soldiers -- Fiction. | Irish Americans -- Fiction | Historical fiction|Irish Americans|United States. Army. Illinois Infantry Regiment, 95th (1862-1865)|Juvenile fiction|Fiction|United States|Sex role|United States Civil War, 1861-1865|Soldiers|History|Children's fiction|United states, history, 19th century, fiction|Sex role, fiction|Irish americans, fiction|United states, history, civil war, 1861-1865, fiction",
Miracles on Maple Hill,"Sorensen, Virginia 1912-1991",0152047182,F Sor,FIC,Moving -- Fiction | Family -- Fiction. | Country life -- Fiction. -- Pennsylvania | Country life -- Fiction.,"After her father returns from the war moody and tired, Marly's family decides to move from the city to Maple Hill Farm in the Pennsylvania countryside where they share many adventures which help restore their spirits and their bond with each other.",,750,,"Country life|Family problems|Fiction|History|Household Moving|Moving, Household|Dysfunctional families|Juvenile fiction|Newbery Medal|Children's fiction|Family life, fiction|Country life, fiction",232,,,,,"After her father returns from the war moody and tired, Marly's family decides to move from the city to Maple Hill Farm in the Pennsylvania countryside where they share many adventures which help restore their spirits and their bond with each other.","Moving -- Fiction | Family -- Fiction. | Country life -- Fiction. -- Pennsylvania | Country life -- Fiction.|Country life|Family problems|Fiction|History|Household Moving|Moving, Household|Dysfunctional families|Juvenile fiction|Newbery Medal|Children's fiction|Family life, fiction|Country life, fiction",232
"It's like this, Cat","Neville, Emily Cheney",0064400735 (HT),F Nev,FIC,Family life -- Fiction. | Humorous fiction,"A quietly humorous story of one kind of contemporary New York City boyhood, a fourteen-year-old and his family, his friends, and a stray tomcat.",,810,,"Family|Newbery Medal|Family life|Fiction|Cats|Children's stories|Juvenile fiction|Family problems|Fathers and sons|Interpersonal relations|Friendship|Adolescence|Children's fiction|Parent and child, fiction|New york (n.y.), fiction|Cats, fiction|Large type books|Child and youth fiction|Humorous stories",172,,,,,"A quietly humorous story of one kind of contemporary New York City boyhood, a fourteen-year-old and his family, his friends, and a stray tomcat.","Family life -- Fiction. | Humorous fiction|Family|Newbery Medal|Family life|Fiction|Cats|Children's stories|Juvenile fiction|Family problems|Fathers and sons|Interpersonal relations|Friendship|Adolescence|Children's fiction|Parent and child, fiction|New york (n.y.), fiction|Cats, fiction|Large type books|Child and youth fiction|Humorous stories",172
My friend Flicka,"O'Hara, Mary",0060512628,F O'Ha,FIC,Animals -- Fiction | Father-son relationship -- Fiction. | Ranch life -- Fiction. | Horses -- Fiction. | Boys -- Fiction. | Domestic fiction | Bildungsromans | Father-son relationship -- Fiction. | Ranch life -- Fiction. -- Wyoming,An aimless Wyoming teenager at odds with his practical father finds purpose when he befriends a wild filly.,,6.8,,"Horses|Juvenile fiction|Fathers and sons|Fiction|Boys|Human-animal relationships|Ranch life|Father-son relationship|Large type books|Children's fiction|Horses, fiction|Wyoming, fiction|Mclaughlin, ken (fictitious character), fiction|Fathers and sons, fiction|Fiction, general",,,,,,An aimless Wyoming teenager at odds with his practical father finds purpose when he befriends a wild filly.,"Animals -- Fiction | Father-son relationship -- Fiction. | Ranch life -- Fiction. | Horses -- Fiction. | Boys -- Fiction. | Domestic fiction | Bildungsromans | Father-son relationship -- Fiction. | Ranch life -- Fiction. -- Wyoming|Horses|Juvenile fiction|Fathers and sons|Fiction|Boys|Human-animal relationships|Ranch life|Father-son relationship|Large type books|Children's fiction|Horses, fiction|Wyoming, fiction|Mclaughlin, ken (fictitious character), fiction|Fathers and sons, fiction|Fiction, general",
Ironman,"Crutcher, Chris",068813503X,F Cru,FIC,Interpersonal relations -- Fiction. | Father-son relationship -- Fiction. | Father-son relationship -- Fiction. | Triathlon -- Fiction.,"While training for a triathlon, seventeen-year-old Bo attends an anger management group at school which leads him to examine his relationship with his father.",,6.8,,"Fathers and sons|Fathers and sons in fiction|Fiction|Interpersonal relations|Interpersonal relations in fiction|Juvenile fiction|Triathlon|Triathlon in fiction|Human relations|Reading Level-Grade 11|Reading Level-Grade 12|New York Times reviewed|LGBTQ young adult|Children's fiction|Parent and child, fiction|Interpersonal relations, fiction|Athletics, fiction|Fathers and sons, fiction",181,,,,,"While training for a triathlon, seventeen-year-old Bo attends an anger management group at school which leads him to examine his relationship with his father.","Interpersonal relations -- Fiction. | Father-son relationship -- Fiction. | Father-son relationship -- Fiction. | Triathlon -- Fiction.|Fathers and sons|Fathers and sons in fiction|Fiction|Interpersonal relations|Interpersonal relations in fiction|Juvenile fiction|Triathlon|Triathlon in fiction|Human relations|Reading Level-Grade 11|Reading Level-Grade 12|New York Times reviewed|LGBTQ young adult|Children's fiction|Parent and child, fiction|Interpersonal relations, fiction|Athletics, fiction|Fathers and sons, fiction",181
