title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
A girl like that,"Bhathena, Tanaz.",9780374305444,F,FIC,School stories. | Religion -- Fiction. | Rape -- Fiction. | Indians -- Fiction. -- Saudi Arabia | High schools -- Fiction. | Dating (Social customs) -- Fiction. | Bullies -- Fiction.,"""In Jeddah, Saudi Arabia, sixteen-year-old half-Hindu/half-Parsi Zarin Wadia is the class troublemaker and top subject for the school rumor blogs, regularly leaving class to smoke cigarettes in cars with boys, but she also desperately wants to grow up and move out of her aunt and uncle's house, perhaps realizing too late that Porus, another non-Muslim Indian who risks deportation but remains devoted to Zarin, could help her escape""--Publisher provided.",,890
Hamilton and Peggy!  a revolutionary friendship,"Elliott, Laura 1957-",9780062671301,F,FIC,Historical fiction. | Friendship -- Fiction. | Biographical fiction.,"""Peggy Schuyler has always felt like she's existed in the shadows of her beloved sisters: the fiery, intelligent Angelica and beautiful, sweet Eliza. But it's in the throes of a chaotic war that Peggy finds herself a central figure amid Loyalists and Patriots, spies and traitors, friends and family.""--OCLC.",,Young Adult
Heart of iron,"Poston, Ashley.",9780062652850,F,FIC,Survival skills -- Fiction. | Science fiction. | Interplanetary voyages -- Fiction. | Friendship -- Fiction. | Androids -- Fiction. | Adventure fiction.,"""Seventeen-year-old Ana is a scoundrel by nurture and an outlaw by nature. Found as a child drifting through space with a sentient android called D09, Ana was saved by a fearsome space captain and the grizzled crew she now calls family. But D09--one of the last remaining illegal Metals--has been glitching, and Ana will stop at nothing to find a way to fix him""--Provided by publisher.",,HL 740
A land of permanent goodbyes,"Abawi, Atia.",9780525516019 (pbk),F,FIC,Refugees -- Fiction. | Muslims -- Fiction. | Family life -- Fiction. -- Syria | Bombings -- Fiction.,"""After their home in Syria is bombed, Tareq, his father, and his younger sister seek refuge, first with extended family in Raqqa, a stronghold for the militant group, Daesh, and then abroad""--Provided by publisher.",,760
The last girl on Earth,"Blogier, Alexandra.",9780399552274,F,FIC,Science fiction. | Impersonation -- Fiction. | Extraterrestrial beings -- Fiction.,"""Li is the only human left after aliens take over the planet, but she learns to stay alive, with the help of her human-sympathizing father, by assimilating to Abdolorean society, which she must keep a secret at all costs or risk the terrifying consequences of exposure""--Provided by publisher.",,Young Adult
Losing brave,"Madison, Bailee 1999-",9780310760542,F,FIC,Twins -- Fiction. | Sisters -- Fiction. | Mystery fiction. | Missing persons -- Fiction. | Memory -- Fiction.,"""Overwhelmed by the mystery and turmoil of her twin sister's disappearance, Payton struggles with the reality of being the one left behind. Especially since she's unable to remember even the largest detail of what happened the day Dylan vanished.""--Dust jacket.",,Young Adult
The love letters of Abelard and Lily,"Creedle, Laura.",9780544932050,F,FIC,Single-parent families -- Fiction. | Romance fiction. | Letters -- Fiction. | Attention deficit disorder -- Fiction. | Asperger's syndrome -- Fiction.,"Lily, who has attention-deficit hyperactivity disorder, and Abelard, who has Asperger's, meet in detention and discover a mutual affinity for love letters--and, despite their differences, each other.",,HL 690
The marrow thieves,"Dimaline, Cherie 1975-",9781770864863,F,FIC,"Transplantation of organs, tissues, etc. -- Fiction. | Native Americans -- Fiction. -- North America | Immune system -- Fiction. | Global warming -- Fiction. | Dreams -- Fiction.","""The indigenous people of North America are being hunted and harvested for their bone marrow, which carries the key to recovering something the rest of the population has lost: the ability to dream. In this dark world, Frenchie and his companions struggle to survive as they make their way up north to the old lands. For now, survival means staying hidden... but what they don't know is that one of them holds the secret to defeating the marrow thieves""--Back cover.",,Young Adult
Obsidio,"Kaufman, Amie.",9780525578437 (pbk),F,FIC,Science fiction. | Interplanetary voyages -- Fiction.,"Kady, Ezra, Hanna, Nik, and 2,000 other refugees must return by container ship to Kerenza, where they meet Rhys, once close to Kady's cousin, Asha, and now their enemy.",Illuminae files,850
The queen's rising,"Ross, Rebecca (Rebecca J.)",9780008245986 (pbk),F,FIC,Revolutions -- Fiction. | Queens -- Fiction. | Magic -- Fiction.,"""Brienna desires only two things: to master her passion and to be chosen by a patron. Growing up in Valenia at the renowned Magnalia House should have prepared her. While some are born with a talent for one of the five passions--art, music, dramatics, wit, and knowledge--Brienna struggled to find hers until she chose knowledge. However, Brienna's greatest fear comes true--she is left without a patron. Months later, her life takes an unexpected turn when a disgraced lord offers her patronage. Suspicious of his intent, she reluctantly accepts. But there is much more to his story, for there is a dangerous plot to overthrow the king of Maevana--the rival kingdom of Valenia--and restore the rightful queen, and her magic, to the throne. And others areinvolved--some closer to Brienna than she realizes""--Amazon.com.",,Young Adult
